app,userName,at,score,title,content
Unacademy,gdegsyvcbjij,,1,Ipados,Not working well with ipad
Unacademy,Potataobhai,,1,Class issue,Wth you people cant fix the green screen glitch in ios devices from a year  🤡 very disappointed and now even in april 2025 educator video isnt visible
Unacademy,Uncademy,,1,Complaint,Worst experience I have ever they scammed so bad I have purchased their one of batch but they denied to provide courses that was mentioned got the batch. My purchase was full waste of money either go for adds24 or pe
Unacademy,Urvi….,,1,Unacademy service,From two days I am trying to login my existing account but unable to do that and I am trying to get help from help centre but nothing is happening very bad service
Unacademy,grim62035,,1,Educators left,Scammed
Unacademy,rahul3687,,1,Not got refund,I have paid my fee two times. Because first transaction message showed transaction failed and amount will refund. However i have never refunded my payment. There is no support team.
Unacademy,..Tanish,,1,..,Doesn’t support on iPad
Unacademy,Nisha karthikeyan,,1,SCAM and false promises - stay away.,"Paid ₹11,119 for GATE2026 after being promised English content, a mentor, timely books & a proper study plan. It was all a lie! No mentor, subjects in Hindi despite assurance, 1 subject dragged till May—how can 11 be covered in 8 months? Books delayed 20+ days, zero response from support. They take your money & disappear! This is a scam—don’t waste your time or money. Worst edtech platform ever!"
Unacademy,Rida Maryam,,1,Very poor app,Extremely tiring to use such a faulty app. Not even able to login
Unacademy,Lolwagamer,,1,Compete in ios or website,"Please bring “compete” in IOS app too, or at least in website, edit: reducing rating as non action"
Unacademy,Kanak devesh,,5,Downloading problem,This is very good app …..but I am facing one problem in it after redownloading the app … I am unable to download the classes
Unacademy,The legend@2008,,1,A scam,"I bought I course which was of class 11th and 12th but when I purchased it did not show on the app for 2 months, I contacted customer support every day still nothing happened they just delayed it but then when I finally got the course it was only class 11. Trust me it is a scam go for other platforms like pw"
Unacademy,Unsafe & Unreliable!,,1,Serious Security Flaw – Not Recommended!,I’ll never recommend this app to anyone. They don’t even have strong security—an unauthorized person can change the phone number or email without my consent.
Unacademy,Pranjali gupta,,1,Farzi app hai,"1.5year ka subscription liya mene or ak sal bhi pura ni hua band kr diye ab complain kr rhi to koi response nahi a raha hai kahi se bhi 
Pese pure lete hai subscription adha dete h ak hafte se paresan hu koi help and support nahi mil raha hai"
Unacademy,Baazigar1999,,1,Worst of the worst company,"They're thief's , educators leave platform in the middle of the course , don't buy it . Green screen issue still not r resolved after months"
Unacademy,Satya9707,,1,Bakwas unreasonable spam calls everyday,"If you want peace,never register your number with unacademy..They will make your life hell..No matter whether you are studying or giving test,or in a meeting somewhere, you will get their calls continuously..No negative feelings for the educators as such but the management team is the worst..Nobody will listen your complaint after purchasing the subscription..You cant even change your dp more than 2 times..seems like they used all their expertise to check who are changing dp more than once but there is no security as all their content are freely spreading in telegram..Pathetic app,,Pathetic tech team,,pathetic help and support and in ipad it is the most lagging edtech platform i h’ve ever seen..even 1000 rs edtech platforms are giving butter like fluent live and recorded videos while unacademy is taking more than 50k for catagories like UPSC"
Unacademy,"Ghjkl,ngcs",,1,Worst app ever,Only there to spam call you and once they take money… it’s full of glitches and subscriptions expire on random days and come back on other random days… and the student can keep crying if they wish.. the glitches don’t get resolved!
Unacademy,Uno=ads,,1,App hangs,Gaurav munjal ko bolo iphone pe dhang se Unacadmey ka chale esa krne instead of selling courses in each video
