content,score,source,app,clean_review
excellence,5,PlayStore,Unacademy,excellence
"The app is losing its pen tab identity on plus.They are shifting to smart board which doesn't work , has low fps, and time delay of few seconds. There is no proper interaction with teachers , instead the smart board gets covered by the teachers making it difficult to view the screen .Teachers used to teach 15-20 slides in one class but the big board has reduced their speed and hence the number of questions per class. ""Students demanded to study on sb"" is the reason given but that isn't reality.",1,PlayStore,Unacademy,the app is losing its pen tab identity on plusthey are shifting to smart board which doesnt work  has low fps and time delay of few seconds there is no proper interaction with teachers  instead the smart board gets covered by the teachers making it difficult to view the screen teachers used to teach  slides in one class but the big board has reduced their speed and hence the number of questions per class students demanded to study on sb is the reason given but that isnt reality
jin teacher k liye join karo unko academy nikl deti h not good for banking exam,1,PlayStore,Unacademy,jin teacher k liye join karo unko academy nikl deti h not good for banking exam
"it's buffer a lot , so much glitch, affects my study .",1,PlayStore,Unacademy,its buffer a lot  so much glitch affects my study 
thank you sir,5,PlayStore,Unacademy,thank you sir
This app is necessary to our life,5,PlayStore,Unacademy,this app is necessary to our life
sabse bekar platform agar koi indian mein hai toh woh sirf unacademy hai mene 11th class mein NEET ki preparation karne ke liye unacademy ka 2 saal ka subscription liya jabtak mene subscription nahi liya tha unacademy wale sir mujhe raat ke 11 bje tk call krte rhe jese he mene subscription le liya wese he helpline number se call uthana bnd kahi kehte chutti hai aaj kuch hai ye woh meri puri 11th kharab krdi 11th mein bina physical(p.c.) ke O.C krwa di jisse puri 11th smjh he nhi aayi 🥲,1,PlayStore,Unacademy,sabse bekar platform agar koi indian mein hai toh woh sirf unacademy hai mene th class mein neet ki preparation karne ke liye unacademy ka  saal ka subscription liya jabtak mene subscription nahi liya tha unacademy wale sir mujhe raat ke  bje tk call krte rhe jese he mene subscription le liya wese he helpline number se call uthana bnd kahi kehte chutti hai aaj kuch hai ye woh meri puri th kharab krdi th mein bina physicalpc ke oc krwa di jisse puri th smjh he nhi aayi 
"I took a subscription last year and my subscription ended so what's the point of calling me per day? Too many phone calls from unacademy, at least 3 calls per day. Please stop calling me!! It's disturbing me a lot.",1,PlayStore,Unacademy,i took a subscription last year and my subscription ended so whats the point of calling me per day too many phone calls from unacademy at least  calls per day please stop calling me its disturbing me a lot
Let's explain my journey in Unacademy I was taken subscription from unacademy last year and Neet journey started from unacademy and I must tell you teacher are very help they explain everything in details so your doubt was clear making constancy throughout the journey and and teachers valuable feedback is the reason that I cleared my neet this thanks Seep pahuja mam and thanks unacademy,1,PlayStore,Unacademy,lets explain my journey in unacademy i was taken subscription from unacademy last year and neet journey started from unacademy and i must tell you teacher are very help they explain everything in details so your doubt was clear making constancy throughout the journey and and teachers valuable feedback is the reason that i cleared my neet this thanks seep pahuja mam and thanks unacademy
Constantly disturbed by the telecallers. Rather invest in teachers than draining money to hire people to do cold calling.,1,PlayStore,Unacademy,constantly disturbed by the telecallers rather invest in teachers than draining money to hire people to do cold calling
very user friendly interface,5,PlayStore,Unacademy,very user friendly interface
"please don't bring smart board because it's slow the momentum of class pentab is best please unacademy don't do this😓😓😰 for this reason i am giving just 2 please understand unacademy don't make it like other edtech institute i am studying from uc from class 10th and i am in now 12th ,as learner experience pentab✍️ is the best",2,PlayStore,Unacademy,please dont bring smart board because its slow the momentum of class pentab is best please unacademy dont do this for this reason i am giving just  please understand unacademy dont make it like other edtech institute i am studying from uc from class th and i am in now th as learner experience pentab is the best
"dear unacademy, please make your application user-friendly",1,PlayStore,Unacademy,dear unacademy please make your application userfriendly
THIS APP IS VERY useful for students and for study purpose,5,PlayStore,Unacademy,this app is very useful for students and for study purpose
I have neet pg fees but ther are not returning it nor replying properly,1,PlayStore,Unacademy,i have neet pg fees but ther are not returning it nor replying properly
Very good platform for competitions exams !!,4,PlayStore,Unacademy,very good platform for competitions exams 
I request to unacademy if download any video there quality is low then I request you give 2 option of download high quality and low quality I hope you see my note and provide this solution thankyou,3,PlayStore,Unacademy,i request to unacademy if download any video there quality is low then i request you give  option of download high quality and low quality i hope you see my note and provide this solution thankyou
Very nice app for aspirants to cover up their course.,5,PlayStore,Unacademy,very nice app for aspirants to cover up their course
smart board is very bad.. scammers,1,PlayStore,Unacademy,smart board is very bad scammers
achha khasa PENTAB pe padha rhe the pta nhi kyu smartboard pe jaa rhe h if anybody from the authority is listening please at least dropper batch ki classes PENTAB pe chalne do,1,PlayStore,Unacademy,achha khasa pentab pe padha rhe the pta nhi kyu smartboard pe jaa rhe h if anybody from the authority is listening please at least dropper batch ki classes pentab pe chalne do
joined for jee to get a new experience and expected smooth classes but there are no notice before change in something of management no opinion of student matters they do what they feel like I don't know why the shifted from pen tab to smart board very poor decision making by administrators of uc and a poor decision as well,1,PlayStore,Unacademy,joined for jee to get a new experience and expected smooth classes but there are no notice before change in something of management no opinion of student matters they do what they feel like i dont know why the shifted from pen tab to smart board very poor decision making by administrators of uc and a poor decision as well
"very bad experience after smart board coming . pen tab is best for teaching because there is no interaction in the pen tab class and the more productivity on pentab , Smart board has more interaction like glitches,lag ,low sound,and most of the famous low productivity.so I want to say to unacademy support, please 🥺🥺 not smart board, only Pentab.This is very harmful for droppers batch. plss pay attention to it.. Thanks to solve many students problem",1,PlayStore,Unacademy,very bad experience after smart board coming  pen tab is best for teaching because there is no interaction in the pen tab class and the more productivity on pentab  smart board has more interaction like glitcheslag low soundand most of the famous low productivityso i want to say to unacademy support please  not smart board only pentabthis is very harmful for droppers batch plss pay attention to it thanks to solve many students problem
Very nice app👍👍🥰🥰,5,PlayStore,Unacademy,very nice app
"New smart board type classes have very bad vedio quality and frequent glitches. Sometimes suddenly classes end before time, even when educator is teaching. I bought this subscription because of pen tab feature. it increases class overall productivity and focus. Almost every student faced that problem today . It's a humble request to unacademy please let the educators get back to pen tab features. Rest everything is good. Thank you",3,PlayStore,Unacademy,new smart board type classes have very bad vedio quality and frequent glitches sometimes suddenly classes end before time even when educator is teaching i bought this subscription because of pen tab feature it increases class overall productivity and focus almost every student faced that problem today  its a humble request to unacademy please let the educators get back to pen tab features rest everything is good thank you
we want pen tab back!!,1,PlayStore,Unacademy,we want pen tab back
"Shifting from pen tab to smartboard is the worst decision that unacademy has taken, productivity of the class decreased, doubt clearing effectiveness decreased, interaction between student and teacher also reduced and many more problems, these all problems are faced by 90% students, if they want to experiment with smartboard then they should start with 11th, atleast don't implement this on droppers because this is our last and final year",1,PlayStore,Unacademy,shifting from pen tab to smartboard is the worst decision that unacademy has taken productivity of the class decreased doubt clearing effectiveness decreased interaction between student and teacher also reduced and many more problems these all problems are faced by  students if they want to experiment with smartboard then they should start with th atleast dont implement this on droppers because this is our last and final year
Unacademy please don't replace pen tab system with Smart board classes Pen tab classes are very much better than smart board ..,1,PlayStore,Unacademy,unacademy please dont replace pen tab system with smart board classes pen tab classes are very much better than smart board 
"why unacademy is playing with our career. we are dropper we shouldn't be experimented. the flow was really going great with pen and tab and now it's so so difficult to understand things even the video can't be revind in mid,there is no slide,and most importantly we noticed our teachers are not comfortable to teach with full potential on smart board we are observing, that energy which was in pen tab is not here, in not getting that vibe, even they are not gettimg able to take our doubts and....",1,PlayStore,Unacademy,why unacademy is playing with our career we are dropper we shouldnt be experimented the flow was really going great with pen and tab and now its so so difficult to understand things even the video cant be revind in midthere is no slideand most importantly we noticed our teachers are not comfortable to teach with full potential on smart board we are observing that energy which was in pen tab is not here in not getting that vibe even they are not gettimg able to take our doubts and
Sometimes it doesn't show up what I needed,1,PlayStore,Unacademy,sometimes it doesnt show up what i needed
please remove smart board and take classes in pen tab.,1,PlayStore,Unacademy,please remove smart board and take classes in pen tab
"platform was great when pen tab was used for teaching, it was a unique way but very friendly for leaners on uc, comapred to smart board that uc introduced recently i hope u will know what most leaners want is pen tab not smart board",1,PlayStore,Unacademy,platform was great when pen tab was used for teaching it was a unique way but very friendly for leaners on uc comapred to smart board that uc introduced recently i hope u will know what most leaners want is pen tab not smart board
"It’s truly disappointing that The recent changes, especially in the teaching formats and class delivery, show a clear lack of consideration for existing subscribers. It honestly feels like the concerns and feedback of long-time learners are being ignored. The app experience has become frustrating, and despite repeated issues being raised by students, there’s hardly any visible action or improvement. It’s disheartening to invest time and money into a platform that appears to value new market...",1,PlayStore,Unacademy,its truly disappointing that the recent changes especially in the teaching formats and class delivery show a clear lack of consideration for existing subscribers it honestly feels like the concerns and feedback of longtime learners are being ignored the app experience has become frustrating and despite repeated issues being raised by students theres hardly any visible action or improvement its disheartening to invest time and money into a platform that appears to value new market
we don't need smart board in plus classes we are good with pen tab plzz from now all classes is on pen tab 🙏,1,PlayStore,Unacademy,we dont need smart board in plus classes we are good with pen tab plzz from now all classes is on pen tab 
quality of classes have downgraded after switching from pen tab to smartboard,1,PlayStore,Unacademy,quality of classes have downgraded after switching from pen tab to smartboard
"They recently removed the pen-tab way and switched to smartboard, explicitly degrading the user experience to the highest order. Worst change ever, considering the other unnecessary changes in planner or calendar which were neither needed nor helping in any way. Would have given 0 stars if play store allowed it. The bad experience is forcing me to leave the platform.",1,PlayStore,Unacademy,they recently removed the pentab way and switched to smartboard explicitly degrading the user experience to the highest order worst change ever considering the other unnecessary changes in planner or calendar which were neither needed nor helping in any way would have given  stars if play store allowed it the bad experience is forcing me to leave the platform
very bad experience on smart board. pen tab is best . we need pen tab back .. productivity extreme low in smart board,1,PlayStore,Unacademy,very bad experience on smart board pen tab is best  we need pen tab back  productivity extreme low in smart board
worst appp...😐,1,PlayStore,Unacademy,worst appp
"the sudden change from pen tab the most efficiency manner to pentab manner completely destroying the rhythm and flow of class and the customer care is very decently worst, all replies are pre written can't even express real problem and the customer care no. never respond",1,PlayStore,Unacademy,the sudden change from pen tab the most efficiency manner to pentab manner completely destroying the rhythm and flow of class and the customer care is very decently worst all replies are pre written cant even express real problem and the customer care no never respond
we want pen tab back!! the smart board is of no use at all.... it causes a lot of buffering issues and tech glitches too!!,1,PlayStore,Unacademy,we want pen tab back the smart board is of no use at all it causes a lot of buffering issues and tech glitches too
using smart board with worst quality and have worst customer support raising ticket for books for 2 months and now it got resolved after contacting the director,1,PlayStore,Unacademy,using smart board with worst quality and have worst customer support raising ticket for books for  months and now it got resolved after contacting the director
pen TAB mode was better,1,PlayStore,Unacademy,pen tab mode was better
very bad appp,1,PlayStore,Unacademy,very bad appp
"reschedule their batch&timings repeatedly, also facing technical issues. lecture bohat cancel hote hai. Platform bohot technical issues aaye hai aur support and help system bhi kuch kam ka nahi hai.",1,PlayStore,Unacademy,reschedule their batchtimings repeatedly also facing technical issues lecture bohat cancel hote hai platform bohot technical issues aaye hai aur support and help system bhi kuch kam ka nahi hai
yah app worst worst worst hai agar aap usko bar bar aap agar usko is app ke kisi ko bhi phone laga do aur vahan se bar bar phone aate rahata hai and date ki kya bolte aapane admission kyon nahin kar Paya kya dikkat a gai hamare ko personal problem ko kuch pata hi nahin hai Ande set ki kyon nahin karvaya abhi pichhle to humse baat ki thi to main jyada nahin bolna chahungi lekin worst worst worst worse was set ever ever ever ever ever ever ever education app I saw.,1,PlayStore,Unacademy,yah app worst worst worst hai agar aap usko bar bar aap agar usko is app ke kisi ko bhi phone laga do aur vahan se bar bar phone aate rahata hai and date ki kya bolte aapane admission kyon nahin kar paya kya dikkat a gai hamare ko personal problem ko kuch pata hi nahin hai ande set ki kyon nahin karvaya abhi pichhle to humse baat ki thi to main jyada nahin bolna chahungi lekin worst worst worst worse was set ever ever ever ever ever ever ever education app i saw
this not made for poor boy it is made only rich gyes subcribtion plan is 100000 per month 🧐🧐🧐🧐,1,PlayStore,Unacademy,this not made for poor boy it is made only rich gyes subcribtion plan is  per month 
"the best app ui and technical things in app in the market , teachers variety is also good , unlike pw there are limited students hence teachers know you better and you can interact better",5,PlayStore,Unacademy,the best app ui and technical things in app in the market  teachers variety is also good  unlike pw there are limited students hence teachers know you better and you can interact better
damn this app,1,PlayStore,Unacademy,damn this app
best india largest learning platform,5,PlayStore,Unacademy,best india largest learning platform
worst app. They did something bad with my acc that I can't see my course from pc/android tv. just within few hours of difference( I mean I was able to see few hours ago then suddenly did something wrong). they made me force to use the mobile screen only. I have eye problems so doctor advised me not to use mobile much. and using small screen also cause my eye pain. they just do fake promises to buy courses later they don't care. better to go other learning apps,1,PlayStore,Unacademy,worst app they did something bad with my acc that i cant see my course from pcandroid tv just within few hours of difference i mean i was able to see few hours ago then suddenly did something wrong they made me force to use the mobile screen only i have eye problems so doctor advised me not to use mobile much and using small screen also cause my eye pain they just do fake promises to buy courses later they dont care better to go other learning apps
Not Here Free Batch,1,PlayStore,Unacademy,not here free batch
not a good app no notes available,1,PlayStore,Unacademy,not a good app no notes available
this is the best platform for a neet aspirants to achieve their goals,5,PlayStore,Unacademy,this is the best platform for a neet aspirants to achieve their goals
"They offer excellent faculty, high-quality content, and the unique flexibility to enroll in different batches of the same course-a much-needed and distinguishing feature. However, the frequent changes in the fee structure are quite disappointing, making it feel unfair and somewhat deceptive to students.",5,PlayStore,Unacademy,they offer excellent faculty highquality content and the unique flexibility to enroll in different batches of the same coursea muchneeded and distinguishing feature however the frequent changes in the fee structure are quite disappointing making it feel unfair and somewhat deceptive to students
Best platform for learning and the features are good,5,PlayStore,Unacademy,best platform for learning and the features are good
app features are good,3,PlayStore,Unacademy,app features are good
"Unacademy is a great app for competitive exam prep. It offers quality live classes, recorded videos, and doubt-solving features. Clean interface, though occasional bugs exist.",5,PlayStore,Unacademy,unacademy is a great app for competitive exam prep it offers quality live classes recorded videos and doubtsolving features clean interface though occasional bugs exist
"Unacademy is an excellent learning app with top educators, interactive live classes, and quality study material. It's user-friendly and perfect for exam preparation like UPSC, SSC, NEET, and more. Highly recommended!",5,PlayStore,Unacademy,unacademy is an excellent learning app with top educators interactive live classes and quality study material its userfriendly and perfect for exam preparation like upsc ssc neet and more highly recommended
really good 👍,5,PlayStore,Unacademy,really good 
"no doubt teacher are good but app is not.sometimes the app stop showing recent video lecture (I repeat not old lectures,those used to be very recent) for 2-3 days.the helpline doesn't work well.they didn't listen to student.my subscription should end after may 2025 but it stop showing recent recorded content from april.and after neet they used to call to my number every single day to promote their app and whenever I tell them about my problem regard app they just say that this couldn't happen.",1,PlayStore,Unacademy,no doubt teacher are good but app is notsometimes the app stop showing recent video lecture i repeat not old lecturesthose used to be very recent for  daysthe helpline doesnt work wellthey didnt listen to studentmy subscription should end after may  but it stop showing recent recorded content from apriland after neet they used to call to my number every single day to promote their app and whenever i tell them about my problem regard app they just say that this couldnt happen
best way of teaching skill and understanding,4,PlayStore,Unacademy,best way of teaching skill and understanding
Just amazing nd very useful work!!!👍👌👌,5,PlayStore,Unacademy,just amazing nd very useful work
third grade,1,PlayStore,Unacademy,third grade
excellent paper,3,PlayStore,Unacademy,excellent paper
what about SSC 2025?,2,PlayStore,Unacademy,what about ssc 
"Unacademy has been an excellent platform for learning, but the recent shift towards smart board teaching is affecting the quality of classes. Pen-tab sessions were much more focused and efficient — topics were covered in detail and on time. Smart boards often lead to distractions and slower syllabus completion. I request Unacademy to allow educators to choose their preferred mode of teaching and retain the pen-tab method, which many students find more effective. Please don’t compromise the learn",3,PlayStore,Unacademy,unacademy has been an excellent platform for learning but the recent shift towards smart board teaching is affecting the quality of classes pentab sessions were much more focused and efficient  topics were covered in detail and on time smart boards often lead to distractions and slower syllabus completion i request unacademy to allow educators to choose their preferred mode of teaching and retain the pentab method which many students find more effective please dont compromise the learn
Ghatiya hai Ye Education Platform.,1,PlayStore,Unacademy,ghatiya hai ye education platform
"the education is exceptional although the app interface and functionality is poor but since they started doing the classes on smart board instead of pen tab the experience have downgraded the quality of the text on the smart board is very poor .The sound and video quality is also very poor . All the students are also saying the same during the class . If they restart doing their classes with the pentab format , then it is the best app for online education",1,PlayStore,Unacademy,the education is exceptional although the app interface and functionality is poor but since they started doing the classes on smart board instead of pen tab the experience have downgraded the quality of the text on the smart board is very poor the sound and video quality is also very poor  all the students are also saying the same during the class  if they restart doing their classes with the pentab format  then it is the best app for online education
please bring back pen tab,1,PlayStore,Unacademy,please bring back pen tab
the app works slow. it keeps buffering,2,PlayStore,Unacademy,the app works slow it keeps buffering
Best app for your prep,5,PlayStore,Unacademy,best app for your prep
app is good but when I tap on the subscription plan it buffers and not show it is not that there is network problem if I can not able to see subscription plan how I will able to purchase it and it also does not provide demo class to paid batch which leads to confusion among learners how that batch could be and it is difficult the interface of the app it will take some days to learn how to use it,2,PlayStore,Unacademy,app is good but when i tap on the subscription plan it buffers and not show it is not that there is network problem if i can not able to see subscription plan how i will able to purchase it and it also does not provide demo class to paid batch which leads to confusion among learners how that batch could be and it is difficult the interface of the app it will take some days to learn how to use it
Unacademy is very nice 👍,5,PlayStore,Unacademy,unacademy is very nice 
nice class,5,PlayStore,Unacademy,nice class
poore management of application and centre subscription.,1,PlayStore,Unacademy,poore management of application and centre subscription
one of the best educators and app also thank you team unacademy,5,PlayStore,Unacademy,one of the best educators and app also thank you team unacademy
One of the best teacher for GA,5,PlayStore,Unacademy,one of the best teacher for ga
if we doesn't want also they call and disturb,1,PlayStore,Vedantu,if we doesnt want also they call and disturb
the graphics of the app could be more better,5,PlayStore,Vedantu,the graphics of the app could be more better
good app for students,5,PlayStore,Vedantu,good app for students
", 💥💥💥💥💥💥💥💥💥💥",5,PlayStore,Vedantu, 
this app was useful,5,PlayStore,Vedantu,this app was useful
best online teaching app for students,5,PlayStore,Vedantu,best online teaching app for students
"this app gives me the latest information like , informative answers of questions, scholarship tests, free courses etc. Infact vedantu is best for you I am recommending this app truly ""YOUR PREPARATION FOR YOUR CAREER SHOULD BE DONE 👍 HERE ✅✅✅✅✅✅""",4,PlayStore,Vedantu,this app gives me the latest information like  informative answers of questions scholarship tests free courses etc infact vedantu is best for you i am recommending this app truly your preparation for your career should be done  here 
Given information is enough and these are understandable.,4,PlayStore,Vedantu,given information is enough and these are understandable
for the kids :),5,PlayStore,Vedantu,for the kids 
Trust this app 100%,5,PlayStore,Vedantu,trust this app 
It clear the concept very easily and it has tests and quizzes,5,PlayStore,Vedantu,it clear the concept very easily and it has tests and quizzes
very poor faculties,1,PlayStore,Vedantu,very poor faculties
amazing app,5,PlayStore,Vedantu,amazing app
very nice learning platform offer highly qualified book but one thing some book pdf are not able to download that's only the problem other excell in all,4,PlayStore,Vedantu,very nice learning platform offer highly qualified book but one thing some book pdf are not able to download thats only the problem other excell in all
actually it's not bod because 5star for content and for teachers 😊 but so many technical errors and I lost one mobile for i reacharge 49rupees for unlimited data so now I thought that i can download all the videos but on that moments in any universe i never watched above 100 percentage of downloading videos on this beautiful moment I converted my mobile into pieces to pieces please 🥺 management of tech devalapers all are from IITs and nits update this app from errors please,4,PlayStore,Vedantu,actually its not bod because star for content and for teachers  but so many technical errors and i lost one mobile for i reacharge rupees for unlimited data so now i thought that i can download all the videos but on that moments in any universe i never watched above  percentage of downloading videos on this beautiful moment i converted my mobile into pieces to pieces please  management of tech devalapers all are from iits and nits update this app from errors please
this app is very useful to students,5,PlayStore,Vedantu,this app is very useful to students
"rlly helpful, m a student.",5,PlayStore,Vedantu,rlly helpful m a student
it's not even opening how to login broo just improve this technical issues 😕,1,PlayStore,Vedantu,its not even opening how to login broo just improve this technical issues 
I have feel better experience in vedantu,3,PlayStore,Vedantu,i have feel better experience in vedantu
very nice app 🙂👍🏻,5,PlayStore,Vedantu,very nice app 
better for all students studi point of view,5,PlayStore,Vedantu,better for all students studi point of view
this app is very bad because they are many calls on me 😔 preshan kar diya,1,PlayStore,Vedantu,this app is very bad because they are many calls on me  preshan kar diya
"this app is very useful, for 1 to 12 classes students",5,PlayStore,Vedantu,this app is very useful for  to  classes students
It is very useful to students,5,PlayStore,Vedantu,it is very useful to students
i am using this platform from class 9th and I am sure no other institute can offer the type of foundation course that vedantu gives and the SAM are pretty awesome as well as the master teachers are really master like nitish sir and Harsh kapil sir and if you are having any problem with your academics then you can ask with your sam for the help he/she will definately help you,5,PlayStore,Vedantu,i am using this platform from class th and i am sure no other institute can offer the type of foundation course that vedantu gives and the sam are pretty awesome as well as the master teachers are really master like nitish sir and harsh kapil sir and if you are having any problem with your academics then you can ask with your sam for the help heshe will definately help you
"Crazy App! Not gonna lie it's the best app I have ever seen in my whole life till now! ❤️ It gives u everything to be a Topper.Nice easy to learn Notes,Good Worksheets, Solutions,I have downloaded it today only and it's soo attractive! The interface is easy to use! I love Vedantu!",5,PlayStore,Vedantu,crazy app not gonna lie its the best app i have ever seen in my whole life till now  it gives u everything to be a toppernice easy to learn notesgood worksheets solutionsi have downloaded it today only and its soo attractive the interface is easy to use i love vedantu
It was really helpful for all students 🥰,5,PlayStore,Vedantu,it was really helpful for all students 
It so help to learn more things,3,PlayStore,Vedantu,it so help to learn more things
Amazing App,5,PlayStore,Vedantu,amazing app
good for the preparation,4,PlayStore,Vedantu,good for the preparation
excellent👍👍,5,PlayStore,Vedantu,excellent
wonderful if there are no calls,5,PlayStore,Vedantu,wonderful if there are no calls
good for taking notes,4,PlayStore,Vedantu,good for taking notes
good learning app,5,PlayStore,Vedantu,good learning app
It is the best app for students I have no words to say that this was really good I love this app and this is so helpful app,4,PlayStore,Vedantu,it is the best app for students i have no words to say that this was really good i love this app and this is so helpful app
this platform has amezing teacher team❤️❤️🙏,5,PlayStore,Vedantu,this platform has amezing teacher team
very nice app i love it this is helping me alot,5,PlayStore,Vedantu,very nice app i love it this is helping me alot
MY EXPERIENCE WITH app is so Great Guys this is the best ever and the Best only ✅OG PLATFORM THE Goat -Vedantu - India's Most loved platform - Known for the best Vedantu Master Teachers Info About app- •Their APP is so Great It have all things needed for 💯 % 1. Detailed lectures 2. For revision short lectures available all resources - Ncert Solutions - Revision Notes - Important Questions -Reference Book solutions - Sample Papers • and much more and the best thing is this is all just for 🆓,5,PlayStore,Vedantu,my experience with app is so great guys this is the best ever and the best only og platform the goat vedantu  indias most loved platform  known for the best vedantu master teachers info about app their app is so great it have all things needed for    detailed lectures  for revision short lectures available all resources  ncert solutions  revision notes  important questions reference book solutions  sample papers  and much more and the best thing is this is all just for 
very good 👍,5,PlayStore,Vedantu,very good 
that was so good app and has important questions and notes too,5,PlayStore,Vedantu,that was so good app and has important questions and notes too
BEST APP NO PROBLEM. VERY HELPFUL,5,PlayStore,Vedantu,best app no problem very helpful
"0/10 service, tried to change name by giving personal details but to no avail. please feel free to reach me out because this is a huge problem.",1,PlayStore,Vedantu, service tried to change name by giving personal details but to no avail please feel free to reach me out because this is a huge problem
system is very laging,3,PlayStore,Vedantu,system is very laging
Informative n helpful for scoring High marks in CBSE BOARD EXAMINATION.,5,PlayStore,Vedantu,informative n helpful for scoring high marks in cbse board examination
it's an good experience but the quizs have limited time overall it's was brilliant,4,PlayStore,Vedantu,its an good experience but the quizs have limited time overall its was brilliant
"sooo good,I can understand every concept in vedantu",5,PlayStore,Vedantu,sooo goodi can understand every concept in vedantu
it was awesome!!!!,5,PlayStore,Vedantu,it was awesome
this app is so helpful to students,5,PlayStore,Vedantu,this app is so helpful to students
Quite good experiences ☺️🌻 But the Hindi classes are not available in this in which of this chapter have but all course have not this chapter in Hindi not classs of Hindi app is good thank you so much for your app☺️👍,3,PlayStore,Vedantu,quite good experiences  but the hindi classes are not available in this in which of this chapter have but all course have not this chapter in hindi not classs of hindi app is good thank you so much for your app
it is nice,5,PlayStore,Vedantu,it is nice
this app is very helpful to study,4,PlayStore,Vedantu,this app is very helpful to study
lots of technical problem and glitches please fixed this problem I lost 1 hour to find my lecture,1,PlayStore,Vedantu,lots of technical problem and glitches please fixed this problem i lost  hour to find my lecture
So poor their members do not even respond when I want to order TATVA books very poor service,1,PlayStore,Vedantu,so poor their members do not even respond when i want to order tatva books very poor service
I am student of drishti jee batch VLC from Hyderabad Nizampet i am facing problem to acess pedagogy please solve this problem ASAP! (issue resolved),4,PlayStore,Vedantu,i am student of drishti jee batch vlc from hyderabad nizampet i am facing problem to acess pedagogy please solve this problem asap issue resolved
crazy fan of Shimon Sir,5,PlayStore,Vedantu,crazy fan of shimon sir
It is one of the best applications I've ever seen bc all the vedio are amazing 😍,5,PlayStore,Vedantu,it is one of the best applications ive ever seen bc all the vedio are amazing 
this is very useful I am using this app for 5yrs since I was in 6th,5,PlayStore,Vedantu,this is very useful i am using this app for yrs since i was in th
very useful!! must try ( grade 10 students ) for all subjects it has free notes for all subject that's is easily understoodable so make it use ful ( this is not a promotion from vedantu ) 👍🪄,5,PlayStore,Vedantu,very useful must try  grade  students  for all subjects it has free notes for all subject thats is easily understoodable so make it use ful  this is not a promotion from vedantu  
I have one problem that my parents said ok to download the aap but we want call vedio call but for that my parents didn't accepted 😢i am to weak in maths .,5,PlayStore,Vedantu,i have one problem that my parents said ok to download the aap but we want call vedio call but for that my parents didnt accepted i am to weak in maths 
excellent💯👏👍,5,PlayStore,Vedantu,excellent
it's soo useful and thankful to study with my teachers,5,PlayStore,Vedantu,its soo useful and thankful to study with my teachers
Hello 👋 I respect your efforts when I try to skip 10 sec forward it instantly locks the whole screen please keep ui open so I can skip few more seconds in 1 go also app doesn't go full screen on ipad yeah sorry about my English 😅 I know you will get it☺️ thank you,1,PlayStore,Vedantu,hello  i respect your efforts when i try to skip  sec forward it instantly locks the whole screen please keep ui open so i can skip few more seconds in  go also app doesnt go full screen on ipad yeah sorry about my english  i know you will get it thank you
very nice 💯💯💯💯🙂,5,PlayStore,Vedantu,very nice 
they will provide everything which a student need upto the course end .I loved learning with Vedantu,5,PlayStore,Vedantu,they will provide everything which a student need upto the course end i loved learning with vedantu
my experience is better,5,PlayStore,Vedantu,my experience is better
now only I installed and I love the information you are giving,5,PlayStore,Vedantu,now only i installed and i love the information you are giving
these was best app thanku vedantu sir,5,PlayStore,Vedantu,these was best app thanku vedantu sir
this is better then doubtnut,1,PlayStore,Vedantu,this is better then doubtnut
i like this,5,PlayStore,Vedantu,i like this
tamil explanation not given in the free videos and Free live sessions,4,PlayStore,Vedantu,tamil explanation not given in the free videos and free live sessions
Best app 👍,5,PlayStore,Vedantu,best app 
"user interface of the app in mobile is the worst and video quality of the streaming is also at low resolution i would suggest pre installation for mobile devices through increasing the applications size so that it will fun smoothly pn Mobile device without any of these issues sincerely, A student of Vedantu... form, Sinhagad branch... Kaushal Bobade",5,PlayStore,Vedantu,user interface of the app in mobile is the worst and video quality of the streaming is also at low resolution i would suggest pre installation for mobile devices through increasing the applications size so that it will fun smoothly pn mobile device without any of these issues sincerely a student of vedantu form sinhagad branch kaushal bobade
froud waste is money,2,PlayStore,Vedantu,froud waste is money
this is very useful app for jee / neet,5,PlayStore,Vedantu,this is very useful app for jee  neet
vedantu is very nice 🙂,5,PlayStore,Vedantu,vedantu is very nice 
It is great app for learning and its free,5,PlayStore,Vedantu,it is great app for learning and its free
excellent app for preparation,5,PlayStore,Vedantu,excellent app for preparation
"at the beginning of admissions they talked frequently and answered call and text,but after the admission they are not responding properly this seems to be very bad and I have not yet received my tatva book and beginning they dont tell properly about how it wokrs and about the package's,I joined before 3 months not yet received.Dont install or put admissions here very bad experience...",1,PlayStore,Vedantu,at the beginning of admissions they talked frequently and answered call and textbut after the admission they are not responding properly this seems to be very bad and i have not yet received my tatva book and beginning they dont tell properly about how it wokrs and about the packagesi joined before  months not yet receiveddont install or put admissions here very bad experience
very good experience nad thanks for providing free material,4,PlayStore,Vedantu,very good experience nad thanks for providing free material
"good app really,in poor students , like me my name is c shiva",5,PlayStore,Vedantu,good app reallyin poor students  like me my name is c shiva
"so nice and I am a VLC student,it is so helpful for me",5,PlayStore,Vedantu,so nice and i am a vlc studentit is so helpful for me
I was finding a app which can provide me revision notes but i found a app with millions of functions in it 10 on 10,5,PlayStore,Vedantu,i was finding a app which can provide me revision notes but i found a app with millions of functions in it  on 
I am impressed I better good marks 🔗🔗🌹🌹❤️❤️,5,PlayStore,Vedantu,i am impressed i better good marks 
