content,score,source,app,clean_review
totally worst experience.....educators are best but the app is worst one they call you constantly to purchase the batch but as soon as you purchase it evn it's not show they just give you one response to wait thn after constant txt from students side they don't reply nor they help what to do now ....,1,PlayStore,Unacademy,totally worst experienceeducators are best but the app is worst one they call you constantly to purchase the batch but as soon as you purchase it evn its not show they just give you one response to wait thn after constant txt from students side they dont reply nor they help what to do now 
why can't I connect to the free classes??,1,PlayStore,Unacademy,why cant i connect to the free classes
I can't connect to 9:05 pm quiz...,1,PlayStore,Unacademy,i cant connect to  pm quiz
Best platform to crack exam,5,PlayStore,Unacademy,best platform to crack exam
good platform 👍,5,PlayStore,Unacademy,good platform 
waste app 🙄,1,PlayStore,Unacademy,waste app 
"hello guys if you think this app is so helpful then you are wrong specially I told NDA subscription, there are no any faculty of math,geography etc, and app feature are very bad first of all you have to spend 1 month for Understanding what are going on with you you have to join coursepage and if you don't know how to join corse page then you find where is class guys I told you only that never and never buy the Unacademy subscription",1,PlayStore,Unacademy,hello guys if you think this app is so helpful then you are wrong specially i told nda subscription there are no any faculty of mathgeography etc and app feature are very bad first of all you have to spend  month for understanding what are going on with you you have to join coursepage and if you dont know how to join corse page then you find where is class guys i told you only that never and never buy the unacademy subscription
"When I had to purchase the class they called me again and again and one of its team members told me that if I would get the subscription of 6 months I would get 3 months extended months along with 6 months and it will be credited after 45 days of purchase. But as I wouldn't get the extended months I called them again, they asked for 24 hours and then blocked my number. They made me wander to the app to email only. The worst service they hold. Poor experience.",1,PlayStore,Unacademy,when i had to purchase the class they called me again and again and one of its team members told me that if i would get the subscription of  months i would get  months extended months along with  months and it will be credited after  days of purchase but as i wouldnt get the extended months i called them again they asked for  hours and then blocked my number they made me wander to the app to email only the worst service they hold poor experience
good classes especially in english,5,PlayStore,Unacademy,good classes especially in english
excellent n amazing teacher S.G. Sir,5,PlayStore,Unacademy,excellent n amazing teacher sg sir
bad experience,3,PlayStore,Unacademy,bad experience
it was great 👍🙏👏,5,PlayStore,Unacademy,it was great 
playstore ko paisa khila ke rakha h app dusra app search kro ye aa jata h,1,PlayStore,Unacademy,playstore ko paisa khila ke rakha h app dusra app search kro ye aa jata h
bakwas hai,1,PlayStore,Unacademy,bakwas hai
apse Acha teacher koi nhi sir thanku 😊 🙏,5,PlayStore,Unacademy,apse acha teacher koi nhi sir thanku  
Worst institute ever they lit.changed the best teachers no consistency lack of teachers . 4months left and they lit. Changed the head teacher of our jee section In gwalior center. For them study is just a business,4,PlayStore,Unacademy,worst institute ever they litchanged the best teachers no consistency lack of teachers  months left and they lit changed the head teacher of our jee section in gwalior center for them study is just a business
